00000000,11111110,11111101,11111011,11110111,11101111,11011111,10111111,01111111
00000001,11111110,11111101,11111011,11110111,11101111,11011111,10111111,01111111
00000010,00000010,11111101,11111010,11110110,11101110,11011110,10111110,01111110
00000011,00000010,11111101,11111010,11110110,11101110,11011110,10111110,01111110
00000100,00000110,00000101,11111011,11110100,11101100,11011100,10111100,01111100
00000101,00000110,00000101,11111011,11110100,11101100,11011100,10111100,01111100
00000110,00000010,00000101,11111010,11110100,11101100,11011100,10111100,01111100
00000111,00000010,00000101,11111010,11110100,11101100,11011100,10111100,01111100
00001000,00001110,00001101,00001011,11110111,11101000,11011000,10111000,01111000
00001001,00001110,00001101,00001011,11110111,11101000,11011000,10111000,01111000
00001010,00000010,00001101,00001010,11110110,11101000,11011000,10111000,01111000
00001011,00000010,00001101,00001010,11110110,11101000,11011000,10111000,01111000
00001100,00000110,00000101,00001011,11110100,11101000,11011000,10111000,01111000
00001101,00000110,00000101,00001011,11110100,11101000,11011000,10111000,01111000
00001110,00000010,00000101,00001010,11110100,11101000,11011000,10111000,01111000
00001111,00000010,00000101,00001010,11110100,11101000,11011000,10111000,01111000
00010000,00011110,00011101,00011011,00010111,11101111,11010000,10110000,01110000
00010001,00011110,00011101,00011011,00010111,11101111,11010000,10110000,01110000
00010010,00000010,00011101,00011010,00010110,11101110,11010000,10110000,01110000
00010011,00000010,00011101,00011010,00010110,11101110,11010000,10110000,01110000
00010100,00000110,00000101,00011011,00010100,11101100,11010000,10110000,01110000
00010101,00000110,00000101,00011011,00010100,11101100,11010000,10110000,01110000
00010110,00000010,00000101,00011010,00010100,11101100,11010000,10110000,01110000
00010111,00000010,00000101,00011010,00010100,11101100,11010000,10110000,01110000
00011000,00001110,00001101,00001011,00010111,11101000,11010000,10110000,01110000
00011001,00001110,00001101,00001011,00010111,11101000,11010000,10110000,01110000
00011010,00000010,00001101,00001010,00010110,11101000,11010000,10110000,01110000
00011011,00000010,00001101,00001010,00010110,11101000,11010000,10110000,01110000
00011100,00000110,00000101,00001011,00010100,11101000,11010000,10110000,01110000
00011101,00000110,00000101,00001011,00010100,11101000,11010000,10110000,01110000
00011110,00000010,00000101,00001010,00010100,11101000,11010000,10110000,01110000
00011111,00000010,00000101,00001010,00010100,11101000,11010000,10110000,01110000
00100000,00111110,00111101,00111011,00110111,00101111,11011111,10100000,01100000
00100001,00111110,00111101,00111011,00110111,00101111,11011111,10100000,01100000
00100010,00000010,00111101,00111010,00110110,00101110,11011110,10100000,01100000
00100011,00000010,00111101,00111010,00110110,00101110,11011110,10100000,01100000
00100100,00000110,00000101,00111011,00110100,00101100,11011100,10100000,01100000
00100101,00000110,00000101,00111011,00110100,00101100,11011100,10100000,01100000
00100110,00000010,00000101,00111010,00110100,00101100,11011100,10100000,01100000
00100111,00000010,00000101,00111010,00110100,00101100,11011100,10100000,01100000
00101000,00001110,00001101,00001011,00110111,00101000,11011000,10100000,01100000
00101001,00001110,00001101,00001011,00110111,00101000,11011000,10100000,01100000
00101010,00000010,00001101,00001010,00110110,00101000,11011000,10100000,01100000
00101011,00000010,00001101,00001010,00110110,00101000,11011000,10100000,01100000
00101100,00000110,00000101,00001011,00110100,00101000,11011000,10100000,01100000
00101101,00000110,00000101,00001011,00110100,00101000,11011000,10100000,01100000
00101110,00000010,00000101,00001010,00110100,00101000,11011000,10100000,01100000
00101111,00000010,00000101,00001010,00110100,00101000,11011000,10100000,01100000
00110000,00011110,00011101,00011011,00010111,00101111,11010000,10100000,01100000
00110001,00011110,00011101,00011011,00010111,00101111,11010000,10100000,01100000
00110010,00000010,00011101,00011010,00010110,00101110,11010000,10100000,01100000
00110011,00000010,00011101,00011010,00010110,00101110,11010000,10100000,01100000
00110100,00000110,00000101,00011011,00010100,00101100,11010000,10100000,01100000
00110101,00000110,00000101,00011011,00010100,00101100,11010000,10100000,01100000
00110110,00000010,00000101,00011010,00010100,00101100,11010000,10100000,01100000
00110111,00000010,00000101,00011010,00010100,00101100,11010000,10100000,01100000
00111000,00001110,00001101,00001011,00010111,00101000,11010000,10100000,01100000
00111001,00001110,00001101,00001011,00010111,00101000,11010000,10100000,01100000
00111010,00000010,00001101,00001010,00010110,00101000,11010000,10100000,01100000
00111011,00000010,00001101,00001010,00010110,00101000,11010000,10100000,01100000
00111100,00000110,00000101,00001011,00010100,00101000,11010000,10100000,01100000
00111101,00000110,00000101,00001011,00010100,00101000,11010000,10100000,01100000
00111110,00000010,00000101,00001010,00010100,00101000,11010000,10100000,01100000
00111111,00000010,00000101,00001010,00010100,00101000,11010000,10100000,01100000
